qid1	qid2	score	label
3280323	43105674	1.0	0
3280323	13669786	0.8247694001457491	0
3280323	25661359	0.8138289106187642	0
3280323	45056083	0.7107091058270255	0
3280323	13751802	0.6780740270169301	0
3280323	34762735	0.659714395015408	0
3280323	2914095	0.6301541613881823	0
3280323	40215588	0.6053813891952707	0
3280323	36569633	0.5533256739276324	0
3280323	34015957	0.4432702754037062	0
3280323	44786936	0.4367790114434667	0
3280323	38269987	0.3573009823300868	0
3280323	33465716	0.3556345024361126	0
3280323	21891881	0.33079029193449	0
3280323	32257527	0.303486753078443	0
3280323	47214442	0.25220389785687725	0
3280323	23681474	0.2511816416801076	1
3280323	25187261	0.2049397406800691	0
3280323	13493569	0.07567388551463353	0
3280323	22154781	0.052918831938691804	0
3280323	47420784	0.019669390833986996	0
3280323	32258201	0.0	0
3280323	42266899	0.0	0
3280323	36854212	0.0	0
3280323	11392186	0.0	0
3280323	4822852	0.0	0
3280323	43603604	0.0	0
3280323	38611192	0.0	0
3280323	7765767	0.0	0
3280323	3274908	0.0	0
24873546	8161459	1.0	0
24873546	23651347	0.9410307002359886	0
24873546	23858219	0.8657753711378774	0
24873546	10195193	0.7761647861296969	0
24873546	14877809	0.7188987492071663	0
24873546	27188795	0.7004335671749914	0
24873546	33875239	0.6720204682413289	0
24873546	21898492	0.5696938821754124	0
24873546	18224109	0.5583350744610148	0
24873546	43180378	0.552949673822009	0
24873546	5614171	0.5243367986322771	0
24873546	23100181	0.5072633773702407	0
24873546	6692751	0.4618218425404727	0
24873546	10580396	0.45449042577856563	0
24873546	32046974	0.4143008573973958	0
24873546	42951766	0.37757553585076076	0
24873546	37483841	0.3717544120199701	0
24873546	44770792	0.3650009725495377	0
24873546	11684389	0.3650009725495377	0
24873546	21222757	0.3509476628614006	0
24873546	836288	0.3291266893735471	0
24873546	34642734	0.21363956202132742	0
24873546	13099007	0.16941883781334255	0
24873546	874480	0.1371293882243263	0
24873546	13685821	0.0	0
24873546	41058343	0.0	1
24873546	7176970	0.0	0
24873546	37394672	0.0	0
24873546	22186576	0.0	0
24873546	9826174	0.0	0
11580304	5029251	1.0	0
11580304	24437500	0.672435806316895	0
11580304	17569775	0.66242056817725	0
11580304	20801350	0.6603352882563771	0
11580304	29827533	0.6474362921465635	0
11580304	15932958	0.6382031911172876	0
11580304	3844241	0.5815543661300919	0
11580304	2522125	0.4446293613170911	1
11580304	20263091	0.4209403471536042	0
11580304	18701990	0.4092882264049963	0
11580304	22165947	0.40720255086060303	0
